method,fold,subject,seed,macro_f1_19,background_f1,action_macro_f1,accuracy,map_at_0.3,map_at_0.4,map_at_0.5,map_at_0.6,map_at_0.7,avg_map
VIDEO_ONLY,1,sbj_0,47,0.5968228639440314,0.6536822884966524,0.5936640070244413,0.6481116878467872,0.6157407407407407,0.6157407407407407,0.5324074074074073,0.5324074074074073,0.3796296296296296,0.5351851851851852
VIDEO_ONLY,2,sbj_1,47,0.7302057284341538,0.8122503328894807,0.7256476948533023,0.7961829312207418,0.7438271604938271,0.6574074074074074,0.6018518518518519,0.6018518518518519,0.5462962962962963,0.6302469135802469
VIDEO_ONLY,3,sbj_2,47,0.7800379744430656,0.8537202632022945,0.7759445139564417,0.8188324445691832,0.7638888888888888,0.7361111111111112,0.7083333333333334,0.6875,0.6875,0.7166666666666667
VIDEO_ONLY,4,sbj_3,47,0.5269685960514174,0.8657105606258149,0.5081495980195065,0.7531175059952039,0.4721781305114639,0.4721781305114639,0.4721781305114639,0.430952380952381,0.42301587301587307,0.4541005291005291
VIDEO_ONLY,5,sbj_4,47,0.7194924743129913,0.8481621435932669,0.712344159352976,0.7829493809747688,0.8055555555555556,0.8055555555555556,0.787037037037037,0.787037037037037,0.7592592592592593,0.788888888888889
VIDEO_ONLY,6,sbj_5,47,0.706638791088323,0.8215694870670759,0.7002537524228366,0.7462200511746918,0.6870370370370371,0.6592592592592593,0.5703703703703703,0.5518518518518518,0.5518518518518518,0.6040740740740741
VIDEO_ONLY,7,sbj_6,47,0.6370911037331392,0.8122356003904979,0.6273608539188414,0.7152847152847153,0.75,0.5833333333333334,0.3611111111111111,0.3611111111111111,0.2777777777777778,0.4666666666666667
VIDEO_ONLY,8,sbj_7,47,0.7148491714609942,0.7308589607635206,0.7139597387219649,0.7436886395511921,0.8287037037037037,0.7546296296296297,0.699074074074074,0.662037037037037,0.662037037037037,0.7212962962962963
VIDEO_ONLY,9,sbj_8,47,0.8380691290956049,0.8891220706540749,0.8352328545645789,0.8600641539695268,0.9351851851851851,0.9351851851851851,0.9351851851851851,0.8796296296296295,0.8611111111111112,0.9092592592592592
VIDEO_ONLY,10,sbj_9,47,0.6922688392860508,0.6527498996386993,0.6944643359331258,0.7387990762124711,0.6157407407407407,0.6018518518518517,0.5462962962962963,0.5462962962962963,0.5462962962962963,0.5712962962962963
VIDEO_ONLY,11,sbj_10,47,0.6457970331441792,0.6939974814607528,0.643119230459925,0.6647841365461847,0.6597222222222222,0.625,0.4861111111111111,0.4861111111111111,0.4166666666666667,0.5347222222222222
VIDEO_ONLY,12,sbj_11,47,0.8572367102937918,0.8745519713261649,0.8562747513475489,0.8626744709590275,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.8703703703703703,0.7037037037037037,0.8925925925925926
VIDEO_ONLY,13,sbj_12,47,0.760909505905541,0.934024963527314,0.7512919804821091,0.8626491281737534,0.6759259259259258,0.6574074074074073,0.6574074074074073,0.6296296296296295,0.5925925925925926,0.6425925925925926
VIDEO_ONLY,14,sbj_13,47,0.82852430297988,0.960213380751278,0.8212082431036912,0.9082222780990696,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7407407407407408,0.654320987654321,0.7567901234567902
VIDEO_ONLY,15,sbj_14,47,0.7228147051951586,0.8866580310880829,0.7137122982011072,0.8021875,0.7215277777777778,0.711111111111111,0.6481481481481481,0.6296296296296297,0.6111111111111112,0.6643055555555556
VIDEO_ONLY,16,sbj_15,47,0.8081084001859091,0.8523375142531356,0.8056512271821742,0.8435818601076095,0.8055555555555556,0.7777777777777778,0.7777777777777778,0.75,0.7083333333333334,0.763888888888889
VIDEO_ONLY,17,sbj_16,47,0.7324592656051753,0.9307572979833592,0.7214427082508317,0.8495297805642633,0.7685185185185186,0.7685185185185186,0.7685185185185186,0.7685185185185186,0.7685185185185186,0.7685185185185186
VIDEO_ONLY,18,sbj_17,47,0.8265618325014674,0.9185324553151458,0.821452353456263,0.8758899676375405,0.8657407407407407,0.8657407407407407,0.8657407407407407,0.837962962962963,0.787037037037037,0.8444444444444444
EARLY_CONCAT,1,sbj_0,47,0.7201142203646056,0.7177257525083612,0.7202469130232858,0.7637372471809558,0.6712962962962963,0.6712962962962963,0.6342592592592592,0.5339506172839505,0.404320987654321,0.5830246913580247
EARLY_CONCAT,2,sbj_1,47,0.8976448166242322,0.8556894243641232,0.8999756717497939,0.8851278357940223,0.9120370370370369,0.8935185185185185,0.8379629629629629,0.8379629629629629,0.6959876543209876,0.8354938271604937
EARLY_CONCAT,3,sbj_2,47,0.5586694243036856,0.6465895492620662,0.5537849729171089,0.6031434184675835,0.5671296296296295,0.5486111111111112,0.4791666666666667,0.4791666666666667,0.4375,0.5023148148148148
EARLY_CONCAT,4,sbj_3,47,0.6493847747713216,0.8685106382978723,0.6372111156865132,0.7919664268585132,0.6417548500881833,0.6417548500881833,0.6417548500881833,0.5954585537918872,0.580026455026455,0.6201499118165784
EARLY_CONCAT,5,sbj_4,47,0.782965373764439,0.7968671888018664,0.7821930507068041,0.7818523742360132,0.8595679012345678,0.8595679012345678,0.6959876543209877,0.6867283950617283,0.6450617283950617,0.7493827160493827
EARLY_CONCAT,6,sbj_5,47,0.523888346559367,0.7224947442186405,0.5128546578005184,0.6240986275878111,0.5611111111111111,0.5240740740740741,0.5129629629629631,0.5129629629629631,0.4962962962962963,0.5214814814814817
EARLY_CONCAT,7,sbj_6,47,0.8657289383817431,0.8806346916696718,0.8649008409768583,0.8773226773226773,0.8194444444444444,0.7638888888888888,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.7583333333333334
EARLY_CONCAT,8,sbj_7,47,0.8509324663867384,0.8213219616204691,0.852577494429309,0.8476507713884993,0.8919753086419754,0.8796296296296297,0.8333333333333334,0.7777777777777778,0.7361111111111112,0.8237654320987655
EARLY_CONCAT,9,sbj_8,47,0.9258586699209136,0.8836902800658979,0.9282013582461922,0.9147955092221332,0.9953703703703702,0.9953703703703702,0.9953703703703702,0.9398148148148147,0.8842592592592592,0.962037037037037
EARLY_CONCAT,10,sbj_9,47,0.27196408241277653,0.6507515473032714,0.25092033436330463,0.4233256351039261,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2666666666666667
EARLY_CONCAT,11,sbj_10,47,0.5548200089197651,0.6289451236849588,0.5507019469883655,0.5913654618473896,0.5774691358024691,0.5774691358024691,0.5774691358024691,0.5774691358024691,0.5564814814814815,0.5732716049382716
EARLY_CONCAT,12,sbj_11,47,0.9144905443860254,0.8672641912078531,0.9171142306737017,0.9090499774876182,0.9814814814814815,0.9814814814814815,0.925925925925926,0.8703703703703703,0.8703703703703703,0.9259259259259259
EARLY_CONCAT,13,sbj_12,47,0.926263202658934,0.906872852233677,0.9273404443492262,0.9152646069134291,0.8518518518518517,0.8518518518518517,0.8518518518518517,0.8333333333333333,0.8148148148148148,0.8407407407407407
EARLY_CONCAT,14,sbj_13,47,0.9345274522519986,0.9431415169889029,0.9340488930999484,0.9362584862962031,0.8861111111111111,0.875,0.8564814814814814,0.8379629629629629,0.8009259259259259,0.8512962962962962
EARLY_CONCAT,15,sbj_14,47,0.9294788170585907,0.9174883238194084,0.9301449555718785,0.9209375,0.9953703703703705,0.9953703703703705,0.9398148148148149,0.9398148148148149,0.9089506172839505,0.9558641975308643
EARLY_CONCAT,16,sbj_15,47,0.8817200857498428,0.9120044981726174,0.880037618393022,0.9083397386625672,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8611111111111112,0.7638888888888888,0.8583333333333332
EARLY_CONCAT,17,sbj_16,47,0.9476213098323072,0.9333522808014779,0.9484140336673532,0.933029353092049,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.961111111111111
EARLY_CONCAT,18,sbj_17,47,0.9407874104826324,0.936250471520181,0.9410394626472129,0.9383495145631068,0.9537037037037036,0.9537037037037036,0.925925925925926,0.925925925925926,0.8518518518518519,0.9222222222222222
FIXED_WINDOW_ATTENTION,1,sbj_0,47,0.7325673291698398,0.7526107310046813,0.731453806845682,0.7522820834079113,0.7175925925925926,0.7037037037037037,0.6574074074074073,0.5493827160493826,0.45370370370370366,0.616358024691358
FIXED_WINDOW_ATTENTION,2,sbj_1,47,0.9133580419035967,0.8898038265923952,0.9146666094208857,0.9079942383867483,0.9120370370370371,0.8981481481481483,0.8611111111111112,0.8055555555555556,0.7777777777777778,0.850925925925926
FIXED_WINDOW_ATTENTION,3,sbj_2,47,0.5899026369868675,0.8170854271356784,0.5772813708674891,0.7281785012629807,0.6324074074074074,0.5638888888888888,0.5638888888888888,0.5407407407407407,0.537037037037037,0.5675925925925925
FIXED_WINDOW_ATTENTION,4,sbj_3,47,0.7044678726622974,0.8627410325523533,0.695674919335072,0.8011990407673861,0.7632275132275131,0.7367724867724867,0.6626984126984126,0.6302910052910052,0.5714285714285714,0.6728835978835978
FIXED_WINDOW_ATTENTION,5,sbj_4,47,0.7335632704498879,0.758127659574468,0.732198582165189,0.7348377997179125,0.8101851851851852,0.8101851851851852,0.7268518518518519,0.662037037037037,0.6481481481481481,0.7314814814814815
FIXED_WINDOW_ATTENTION,6,sbj_5,47,0.5492405753892726,0.7599844901124467,0.5375325801268741,0.6406140963014655,0.5648148148148148,0.5648148148148148,0.5555555555555556,0.5277777777777778,0.4722222222222222,0.537037037037037
FIXED_WINDOW_ATTENTION,7,sbj_6,47,0.9489663797848007,0.8841774636827641,0.9525657640126917,0.936063936063936,0.9027777777777778,0.9027777777777778,0.875,0.875,0.8472222222222222,0.8805555555555555
FIXED_WINDOW_ATTENTION,8,sbj_7,47,0.8646798849750322,0.8147982062780269,0.8674510893470881,0.8492286115007013,0.9444444444444444,0.9351851851851851,0.8715277777777778,0.8159722222222222,0.7511574074074073,0.8636574074074075
FIXED_WINDOW_ATTENTION,9,sbj_8,47,0.8939279657266221,0.8667941363926067,0.895435400689623,0.8897353648757017,0.9722222222222222,0.9166666666666666,0.875,0.7916666666666666,0.7916666666666666,0.8694444444444445
FIXED_WINDOW_ATTENTION,10,sbj_9,47,0.32647234720325635,0.5505421476040574,0.3140240249587674,0.46836027713625866,0.3333333333333333,0.3333333333333333,0.3055555555555556,0.25,0.25,0.29444444444444445
FIXED_WINDOW_ATTENTION,11,sbj_10,47,0.5184358709795943,0.662795408507765,0.5104158966724737,0.5953815261044176,0.5648148148148148,0.5246913580246914,0.5246913580246914,0.49691358024691357,0.49691358024691357,0.5216049382716049
FIXED_WINDOW_ATTENTION,12,sbj_11,47,0.9709357643683643,0.9320754716981132,0.9730946695167115,0.9637550652859073,1.0,1.0,1.0,1.0,0.9814814814814815,0.9962962962962963
FIXED_WINDOW_ATTENTION,13,sbj_12,47,0.9371592836161917,0.9382282521947326,0.9370998964729395,0.9408075864178648,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7870370370370371,0.7870370370370371,0.8037037037037036
FIXED_WINDOW_ATTENTION,14,sbj_13,47,0.9377844862735936,0.9539664804469273,0.9368854865972973,0.9471963791802867,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.7870370370370371,0.769675925925926,0.829861111111111
FIXED_WINDOW_ATTENTION,15,sbj_14,47,0.9254291126551335,0.9238046967393141,0.9255193579837901,0.92125,0.9768518518518517,0.9768518518518517,0.9768518518518517,0.9768518518518517,0.9398148148148147,0.9694444444444443
FIXED_WINDOW_ATTENTION,16,sbj_15,47,0.8242036600305503,0.9411078717201167,0.8177089816033521,0.8781706379707916,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.7777777777777778,0.6944444444444444,0.7777777777777779
FIXED_WINDOW_ATTENTION,17,sbj_16,47,0.9383459009359061,0.9491762077631947,0.9377442172232789,0.9412938159019664,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.8888888888888888,0.9555555555555555
FIXED_WINDOW_ATTENTION,18,sbj_17,47,0.9311726865824098,0.9243272530251039,0.9315529884467045,0.931715210355987,0.925925925925926,0.9074074074074073,0.8796296296296297,0.8518518518518519,0.8518518518518519,0.8833333333333334
FINAL_MODEL,1,sbj_0,47,0.7714566409562803,0.7740555951532431,0.7713122546120046,0.7853946661893682,0.7962962962962963,0.7962962962962963,0.6944444444444444,0.6481481481481481,0.5509259259259259,0.6972222222222222
FINAL_MODEL,2,sbj_1,47,0.9176721372161217,0.8789144050104384,0.9198253445608819,0.9049333813467771,0.9120370370370369,0.8935185185185185,0.8688271604938271,0.8009259259259259,0.7546296296296297,0.8459876543209877
FINAL_MODEL,3,sbj_2,47,0.5782522246216854,0.799800299550674,0.5659439982367416,0.7197586303676677,0.5771604938271605,0.5138888888888888,0.5046296296296295,0.4444444444444444,0.4444444444444444,0.4969135802469136
FINAL_MODEL,4,sbj_3,47,0.7018992738591533,0.8656077503661147,0.6928043584976554,0.7954436450839328,0.7177579365079365,0.6957671957671958,0.6448412698412698,0.6448412698412698,0.6016313932980598,0.6609678130511463
FINAL_MODEL,5,sbj_4,47,0.7604756971395163,0.7950920245398773,0.7585525678394963,0.7627331139319856,0.845679012345679,0.8209876543209876,0.8209876543209876,0.6728395061728395,0.6172839506172839,0.7555555555555555
FINAL_MODEL,6,sbj_5,47,0.6303064436710759,0.8130586863583366,0.6201535412995614,0.7136543382181902,0.6814814814814815,0.662962962962963,0.662962962962963,0.662962962962963,0.6074074074074074,0.6555555555555556
FINAL_MODEL,7,sbj_6,47,0.9006666274085535,0.8901860634804816,0.9012488809601131,0.9056943056943056,0.8611111111111112,0.8611111111111112,0.8333333333333334,0.8055555555555556,0.8055555555555556,0.8333333333333334
FINAL_MODEL,8,sbj_7,47,0.8636274907871095,0.8017957351290684,0.8670625883236674,0.8446704067321178,0.9444444444444444,0.9351851851851851,0.8611111111111112,0.7777777777777778,0.75,0.8537037037037036
FINAL_MODEL,9,sbj_8,47,0.893558736574054,0.9163090128755365,0.8922948323350828,0.911186848436247,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.888888888888889
FINAL_MODEL,10,sbj_9,47,0.36948645983456174,0.7066730676908305,0.3507538705092135,0.5078521939953811,0.4074074074074074,0.4074074074074074,0.3796296296296296,0.25,0.19444444444444445,0.3277777777777778
FINAL_MODEL,11,sbj_10,47,0.5698317693599171,0.6618603336160588,0.564719071345687,0.6004016064257028,0.6351851851851852,0.6203703703703703,0.5648148148148148,0.5092592592592592,0.5,0.5659259259259259
FINAL_MODEL,12,sbj_11,47,0.9426972368729661,0.8769633507853403,0.9463491194333896,0.9324628545700135,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9555555555555555
FINAL_MODEL,13,sbj_12,47,0.9320847165982206,0.9350355526826115,0.931920781260199,0.9357601713062098,0.8796296296296295,0.8518518518518517,0.8518518518518517,0.8333333333333333,0.8333333333333333,0.8499999999999999
FINAL_MODEL,14,sbj_13,47,0.9514899068499814,0.9650050635760099,0.9507390648096463,0.9581342720643701,0.8842592592592592,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8209876543209876,0.8632716049382715
FINAL_MODEL,15,sbj_14,47,0.9075883501217957,0.8395994709994332,0.911365510073038,0.8653125,0.949074074074074,0.949074074074074,0.949074074074074,0.949074074074074,0.904320987654321,0.9401234567901234
FINAL_MODEL,16,sbj_15,47,0.8523989867433339,0.9065918653576438,0.8493882712647612,0.8981552651806303,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.787037037037037,0.787037037037037,0.8037037037037036
FINAL_MODEL,17,sbj_16,47,0.9439428992783856,0.9672404219877846,0.9426485924611967,0.9546879452835566,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.8611111111111112,0.8611111111111112,0.9277777777777778
FINAL_MODEL,18,sbj_17,47,0.9092260479048901,0.9219884565257866,0.9085170252037292,0.9144012944983819,0.9351851851851851,0.9166666666666666,0.7777777777777778,0.7777777777777778,0.7407407407407408,0.8296296296296296
